security,name,file,status,rows
BLX AT Equity,Beacon Lighting Group Ltd,BLX-AT-Equity.csv,downloaded,1649
BML AT Equity,Boab Metals Ltd,BML-AT-Equity.csv,downloaded,2427
BMN AT Equity,Bannerman Energy Ltd,BMN-AT-Equity.csv,downloaded,3834
BNZ AT Equity,Benz Mining Corp,BNZ-AT-Equity.csv,too_short,5
BOC AT Equity,Bougainville Copper Ltd,BOC-AT-Equity.csv,downloaded,4573
BOE AT Equity,Boss Energy Ltd,BOE-AT-Equity.csv,downloaded,2473
BOQ AT Equity,Bank of Queensland Ltd,BOQ-AT-Equity.csv,downloaded,5305
BOT AT Equity,Botanix Pharmaceuticals Ltd,BOT-AT-Equity.csv,downloaded,3490
BPT AT Equity,Beach Energy Ltd,BPT-AT-Equity.csv,downloaded,5297
BRE AT Equity,Brazilian Rare Earths Ltd,BRE-AT-Equity.csv,too_short,0
BRG AT Equity,Breville Group Ltd,BRG-AT-Equity.csv,downloaded,5204
BRN AT Equity,BrainChip Holdings Ltd,BRN-AT-Equity.csv,downloaded,1741
BSL AT Equity,BlueScope Steel Ltd,BSL-AT-Equity.csv,downloaded,4670
BTL AT Equity,Beetaloo Energy Australia Ltd,BTL-AT-Equity.csv,downloaded,4747
BTR AT Equity,Brightstar Resources Ltd,BTR-AT-Equity.csv,downloaded,2783
BVS AT Equity,Bravura Solutions Ltd,BVS-AT-Equity.csv,downloaded,1029
BWP AT Equity,BWP Property Group Ltd,BWP-AT-Equity.csv,too_short,0
BXB AT Equity,Brambles Ltd,BXB-AT-Equity.csv,downloaded,3565
C79 AT Equity,Chrysos Corp Ltd,C79-AT-Equity.csv,too_short,0
CAR AT Equity,CAR Group Ltd,CAR-AT-Equity.csv,downloaded,2864
CAT AT Equity,Catapult Sports Ltd,CAT-AT-Equity.csv,downloaded,1518
CAY AT Equity,Canyon Resources Ltd,CAY-AT-Equity.csv,downloaded,2052
CBA AT Equity,Commonwealth Bank of Australia,CBA-AT-Equity.csv,downloaded,5307
CBO AT Equity,Cobram Estate Olives Ltd,CBO-AT-Equity.csv,too_short,0
CCL AT Equity,Cuscal Ltd,CCL-AT-Equity.csv,too_short,0
CCP AT Equity,Credit Corp Group Ltd,CCP-AT-Equity.csv,downloaded,4897
CCV AT Equity,Cash Converters International,CCV-AT-Equity.csv,downloaded,5110
CDA AT Equity,Codan Ltd,CDA-AT-Equity.csv,downloaded,4068
CDP AT Equity,Carindale Property Trust,CDP-AT-Equity.csv,downloaded,4746
CEL AT Equity,Challenger Gold Ltd,CEL-AT-Equity.csv,downloaded,2434
CGF AT Equity,Challenger Ltd,CGF-AT-Equity.csv,downloaded,5308
CGS AT Equity,Cogstate Ltd,CGS-AT-Equity.csv,downloaded,2791
CHC AT Equity,Charter Hall Group,CHC-AT-Equity.csv,downloaded,3676
CHN AT Equity,Chalice Mining Ltd,CHN-AT-Equity.csv,downloaded,3327
CIA AT Equity,Champion Iron Ltd,CIA-AT-Equity.csv,downloaded,2139
CIP AT Equity,Centuria Industrial REIT,CIP-AT-Equity.csv,downloaded,2023
CKF AT Equity,Collins Foods Ltd,CKF-AT-Equity.csv,downloaded,2379
CLW AT Equity,Charter Hall Long Wale REIT,CLW-AT-Equity.csv,downloaded,1039
CMA AT Equity,Carma Ltd,CMA-AT-Equity.csv,too_short,0
CMM AT Equity,Capricorn Metals Ltd,CMM-AT-Equity.csv,downloaded,2441
CMW AT Equity,Cromwell Property Group,CMW-AT-Equity.csv,downloaded,4524
CNI AT Equity,Centuria Capital Group,CNI-AT-Equity.csv,downloaded,4533
CNU AT Equity,Chorus Ltd,CNU-AT-Equity.csv,downloaded,2306
COF AT Equity,Centuria Office REIT,COF-AT-Equity.csv,downloaded,1504
COG AT Equity,COG Financial Services Ltd,COG-AT-Equity.csv,downloaded,3008
COH AT Equity,Cochlear Ltd,COH-AT-Equity.csv,downloaded,5314
COL AT Equity,Coles Group Ltd,COL-AT-Equity.csv,downloaded,535
CPU AT Equity,Computershare Ltd,CPU-AT-Equity.csv,downloaded,5315
CQE AT Equity,Charter Hall Social Infrastruc,CQE-AT-Equity.csv,downloaded,4417
CQR AT Equity,Charter Hall Retail REIT,CQR-AT-Equity.csv,downloaded,5298
CRN AT Equity,Coronado Global Resources Inc,CRN-AT-Equity.csv,downloaded,551
CSC AT Equity,Capstone Copper Corp,CSC-AT-Equity.csv,too_short,0
CSL AT Equity,CSL Ltd,CSL-AT-Equity.csv,downloaded,5311
CTM AT Equity,Centaurus Metals Ltd,CTM-AT-Equity.csv,downloaded,4803
CTT AT Equity,Cettire Ltd,CTT-AT-Equity.csv,too_short,8
CU6 AT Equity,Clarity Pharmaceuticals Ltd,CU6-AT-Equity.csv,too_short,0
CUV AT Equity,Clinuvel Pharmaceuticals Ltd,CUV-AT-Equity.csv,downloaded,4872
CVC AT Equity,CVC Ltd,CVC-AT-Equity.csv,downloaded,2893
CVL AT Equity,Civmec Australia Ltd,CVL-AT-Equity.csv,downloaded,316
CVW AT Equity,ClearView Wealth Ltd/Australia,CVW-AT-Equity.csv,downloaded,3927
CWP AT Equity,Cedar Woods Properties Ltd,CWP-AT-Equity.csv,downloaded,4587
