Lookback,Holding,Mean_IC,Sharpe,LS_Sharpe,Ann_Ret
1,1,0.059606444382400633,-0.22042532981307258,-0.13354528075928981,-0.010716421644240803
1,2,0.04173375387471635,-0.23104389084792024,-0.27457496913278884,-0.019149315195971184
1,10,0.013442219436914394,0.1968911745132763,-0.2198199800534545,0.040205670623033374
1,25,-0.009005089356263471,0.5097332647873398,-0.27733457186217697,0.11024894758801285
1,50,-0.032830887952216184,0.4516967739789458,-0.46683178142513837,0.08842107240089359
5,1,0.0038422491778626797,-0.2214438326307485,-0.5191445779195701,-0.010713829253524598
5,2,0.01575950301225026,0.23777187670787153,0.007459036762150022,0.018356522216846027
5,10,-0.012314942776403225,0.6037080107426406,-0.0013124861009351065,0.09734582070999775
5,25,0.011874801267650852,0.61563704311633,-0.0031955611797601815,0.13273728083666603
5,50,0.027581986151590236,0.6888076214175783,0.1903908627477744,0.16638949422310634
10,1,-0.00837607707273389,-0.3589074680906389,-0.42530561418166957,-0.020144649437258244
10,2,0.0063528183043150815,-0.09494334677282482,-0.20223376235717816,-0.00808148403641129
10,10,0.007252394326430837,0.6211950138759719,0.25534945839799517,0.11961407621963982
10,25,-0.017996493786635523,0.6980444641359952,-0.10818735440526796,0.13585112033958224
10,50,-0.04957806584881936,0.636924218542807,-0.05923331752351684,0.14160745509980233
20,1,0.024077385832374308,0.11304698072744533,0.1246838183196873,0.0052553161208872545
20,2,0.0058306987693397426,0.32525960076627464,0.19478504905228175,0.025771617568509875
20,10,0.022789550441923517,0.6741059522031873,0.11411912989708271,0.11080763553640227
20,25,0.007115115620862746,0.7550726426823159,0.2516469450398288,0.19614003318216855
20,50,0.015787166336336197,0.7493108621253287,0.2441684182445488,0.2012566797760118
80,1,0.030884793176642354,0.2241771783499386,0.35992495967791294,0.011424029113116907
80,2,0.04062739542152821,0.5149300830012535,0.5016001614294244,0.04273543487998421
80,10,0.03308279391192989,0.5075377984853037,0.07220041400244007,0.1041048184252269
80,25,-0.0006352469369710733,0.4400188702219254,-0.006251753304196578,0.1279153869954821
80,50,-0.034129973474801054,0.47970559055620055,0.08533567064653343,0.1582727026341617
120,1,0.008904344749884932,-0.09261823294458453,-0.17878747154830107,-0.004380596078799592
120,2,0.01441580612693169,0.2977241348576206,0.2555261787185134,0.023040546048152644
120,10,0.0025197906264919903,0.5209768929942227,-0.002570464465187053,0.10513562817351096
