date,ticker,pred_return,actual_return
2015-03-03,AAPL,-0.010952484616345126,-0.037492293998870996
2015-03-03,MSFT,-0.030638688386663393,-0.028881479027763945
2015-03-03,NVDA,-0.03629338184233033,0.036970184104496706
2015-03-03,GOOGL,-0.022175985795035436,-0.032723517536246804
2015-03-03,META,-0.03161525226012285,-0.025753635110661643
2015-03-03,AMZN,-0.02900691507510178,-0.039260507502241526
2015-03-03,TSLA,-0.028952230622307784,-0.046301877635928634
2015-03-03,AVGO,-0.04537653897297467,-0.024177263952440575
2015-03-03,AMD,-0.032470559292762435,-0.07006370103829773
2015-03-03,QCOM,-0.033452228571436926,0.006722027376083517
2015-03-03,TXN,-0.03027031873687258,-0.025098301445788507
2015-03-03,INTC,-0.02643263546554664,-0.07038120152896676
2015-03-03,AMAT,-0.008493397754520515,-0.04001592718026192
2015-03-03,LRCX,-0.012091294525596208,-0.04468194413080184
2015-03-03,KLAC,-0.029951942895774852,-0.05868558415123237
2015-03-03,MRVL,-0.024141298083209528,0.023722765192173645
2015-03-03,MPWR,-0.04156819661188915,-0.02389821132505343
2015-03-03,ON,-0.05643084382838215,-0.010101019082897289
2015-03-03,STX,-0.028375655703793523,-0.07497437972342857
2015-03-03,WDC,-0.04116878417842318,-0.05853952564764309
2015-03-03,MU,-0.053854102247995805,-0.06911650974968031
2015-03-03,NXPI,-0.10574809034929855,-0.011951722498857786
2015-03-03,ADI,-0.028485091172029797,-0.026217154417566446
2015-03-03,MCHP,-0.02332207856683499,-0.03694320096978976
2015-03-03,CRM,-0.04206913497450371,-0.047647572355260626
2015-03-03,ORCL,-0.01774041930140302,-0.03596115889682239
2015-03-03,SAP,-0.022914455115210397,-0.04970876187017381
2015-03-03,ADBE,-0.009636855684864942,-0.037726241399303806
2015-03-03,NOW,-0.031615282855122606,-0.024652070035717566
2015-03-03,INTU,-0.02398246295302242,-0.0266327134255836
2015-03-03,HUBS,-0.046238752698636754,-0.054593563198650163
2015-03-03,WDAY,-0.04248703362275452,-0.07750796207640387
2015-03-03,VEEV,-0.048318761671497956,-0.2578769884358305
2015-03-03,PANW,-0.05792378050678493,-0.06950975095766443
2015-03-03,FTNT,-0.030776033181587614,-0.033206038974955665
2015-03-03,NFLX,-0.024402430462414304,-0.08352455722601315
2015-03-03,ANET,-0.03650795605451118,-0.01974351864292434
2015-03-03,NTAP,-0.0032288502669588492,-0.00236629594386939
2015-03-03,SMCI,-0.03006733827223207,-0.0690955010174723
2015-03-03,GLW,-0.023121011511568534,-0.06300842795394379
2015-03-03,ACN,-0.02036460398645823,-0.030603301203087963
2015-03-03,IBM,-0.02243154766323885,-0.019996123828063816
2015-03-03,CTSH,-0.03439844568894157,-0.03392787862221602
2015-03-03,IT,-0.041120096863045075,-0.028108999148400593
2015-03-03,DXC,-0.02720692001131808,-0.04646544207586145
2015-03-03,EPAM,-0.055627078937421026,-0.015214188276344798
2015-03-03,CSCO,-0.03579228087763053,-0.029790495410337625
2015-03-03,AKAM,-0.03310322834998236,-0.009447518699442714
2015-03-10,AAPL,-0.028308276897737183,0.02031984587918778
2015-03-10,MSFT,-0.0062167930130485605,-0.007851313232355106
2015-03-10,NVDA,-0.04300851401266825,0.010869488029489727
2015-03-10,GOOGL,-0.015862787056840633,-0.0040010090803489495
2015-03-10,META,-0.017120837385360077,0.023339872101379777
2015-03-10,AMZN,-0.029254374368901437,0.006522181477012889
2015-03-10,TSLA,0.010680731659432396,0.02317155043936059
2015-03-10,AVGO,-0.02847623222390583,0.03180941893464029
2015-03-10,AMD,-0.03984782689635846,-0.05136989433158212
2015-03-10,QCOM,-0.023177944870887313,-0.028794128596562274
2015-03-10,TXN,-0.01423742987056853,0.01523692023257417
2015-03-10,INTC,0.01621146982513655,-0.0350156847138533
2015-03-10,AMAT,-0.013210343064625762,0.029774156550886666
2015-03-10,LRCX,-0.014521790248545052,0.013083503201469338
2015-03-10,KLAC,0.013534642635840921,0.02044907032587706
2015-03-10,MRVL,-0.01577470488575672,-0.036152097986005716
2015-03-10,MPWR,-0.03198335256739848,0.033664714835032195
2015-03-10,ON,-0.01562244317590622,-0.006279428975141443
2015-03-10,STX,0.023379844149052698,-0.013600333972938139
2015-03-10,WDC,0.008398730697645851,-0.0278699478126454
2015-03-10,MU,0.008874716139698258,0.0018109685178915313
2015-03-10,NXPI,-0.04338955971092673,0.06437727082524236
2015-03-10,ADI,-0.010547549636164,0.027272722734100308
2015-03-10,MCHP,-0.013244190459397398,0.004038205683806195
2015-03-10,CRM,-0.013465870517571199,0.05944158064075311
2015-03-10,ORCL,0.020711997029791984,0.02510782280364454
2015-03-10,SAP,-0.01932963435031676,0.0313853993283888
2015-03-10,ADBE,-0.012868191548485952,0.04802001609389661
2015-03-10,NOW,-0.02093379214410318,0.08574528434047113
2015-03-10,INTU,-0.02460052451360817,0.037635083029871286
2015-03-10,HUBS,-0.03017754402015904,-0.05087763750013219
2015-03-10,WDAY,-0.031419045780402444,0.025956459424132383
2015-03-10,VEEV,0.05801193736065868,0.14303377084157698
2015-03-10,PANW,-0.033788525412904113,0.04597617316186664
2015-03-10,FTNT,-0.020661832591022944,0.041337434036317955
2015-03-10,NFLX,-0.021929707459663494,-0.03801781480884758
2015-03-10,ANET,-0.056177785315198236,0.08276984946582466
2015-03-10,NTAP,-0.011884042244046045,-0.030574572684637924
2015-03-10,SMCI,-0.047810358576402145,-0.04372468129773832
2015-03-10,GLW,0.009230631777375153,0.013883064324879513
2015-03-10,ACN,-0.0047277466090897,0.008857742966973836
2015-03-10,IBM,-0.027476231149010544,-0.005386492477785554
2015-03-10,CTSH,-0.0352999530163014,0.026381107889731803
2015-03-10,IT,-0.012138732133562424,0.022286199049530442
2015-03-10,DXC,-0.012611360279107253,-0.009062562684289732
2015-03-10,EPAM,-0.03227406886633666,0.036607898120997406
2015-03-10,CSCO,-0.023129509808258897,-0.017794504585635695
2015-03-10,AKAM,-0.0427092863186207,0.04132949041154843
2015-03-17,AAPL,0.0063915584245466395,-0.0027553092047464256
2015-03-17,MSFT,-0.013384810113333145,0.02877711211461964
2015-03-17,NVDA,-0.019848832030954,-0.03655901068555645
2015-03-17,GOOGL,-0.01342112723563016,0.035741871580034834
2015-03-17,META,-0.01939950480976338,0.07497450314808374
2015-03-17,AMZN,-0.003393964507480307,0.005834562436023205
2015-03-17,TSLA,-0.009475035434046708,0.03589582427004845
2015-03-17,AVGO,-0.020350730293655084,0.034182782304311043
2015-03-17,AMD,-0.04362595240476552,0.0072202097704794355
2015-03-17,QCOM,-0.029863499338736665,-0.012173957105173105
2015-03-17,TXN,-0.01573475035313221,0.008107468586963096
2015-03-17,INTC,0.03263584355793947,0.00653793279965309
2015-03-17,AMAT,-0.027191520892594467,-0.012804335047262527
2015-03-17,LRCX,-0.009854738323046397,-0.0027856165500781405
2015-03-17,KLAC,-0.005357018606093278,0.025903967802498595
2015-03-17,MRVL,-0.0053126605249101955,-0.016528605723805878
2015-03-17,MPWR,-0.010589443446420543,0.008512303817997946
2015-03-17,ON,-0.022366374859397076,-0.022116882807737714
2015-03-17,STX,0.024279931950768496,0.03092940732334082
2015-03-17,WDC,0.01669319562507665,0.013661799436577748
2015-03-17,MU,0.006685932624391544,0.010845815515574841
2015-03-17,NXPI,-0.039293143647645024,0.0020226221161738778
2015-03-17,ADI,-0.012578592409072664,0.02722930365807308
2015-03-17,MCHP,-0.00466222297590646,-0.0022125787705747912
2015-03-17,CRM,-0.024201895894063186,-0.0026646255176027145
2015-03-17,ORCL,-2.9383217822531726e-05,0.019594077691334144
2015-03-17,SAP,0.00022248328093921188,0.0654978965813704
2015-03-17,ADBE,-2.116615759339968e-05,-0.05284969269803952
2015-03-17,NOW,-0.003756510110499711,-0.008135116676505683
2015-03-17,INTU,-0.008745067519686844,0.007273982828530867
2015-03-17,HUBS,-0.01066060104944555,0.07022242925352273
2015-03-17,WDAY,-0.01808669608344038,0.03705031512417656
2015-03-17,VEEV,-0.037445663261410744,-0.017670385113848663
2015-03-17,PANW,-0.011982971583322288,-0.03201771291423727
2015-03-17,FTNT,-0.015736043223213092,-0.003210786930208487
2015-03-17,NFLX,0.013591499893289338,0.04721406871532108
2015-03-17,ANET,-0.04496380725114635,-0.04792937822352272
2015-03-17,NTAP,-0.0004203533137933091,-0.02528547765486666
2015-03-17,SMCI,0.01276451222539543,-0.0019757181812976032
2015-03-17,GLW,0.0016803972726344707,0.0017112941278349947
2015-03-17,ACN,-0.006525811866619713,0.006415870515822819
2015-03-17,IBM,-0.012403319920315625,0.038481455792803265
2015-03-17,CTSH,-0.009304374564314433,0.011565944712172094
2015-03-17,IT,-0.020126370429383034,0.018126095528240516
