date,next_month_end,strat_ret,bench_ret,top_tickers,n_available,cum_strat,cum_bench,relative
2000-02-29,2000-03-31,0.01908536418049278,0.017676782587164038,"EWS, EWL, EWA",17,1.019085364180493,1.017676782587164,1.0013841148952498
2000-03-31,2000-04-28,-0.04887813925937327,-0.05421491118849029,"EWI, EWA, EWG",17,0.9692743678328897,0.9625035262006123,1.0070346148850016
2000-04-28,2000-05-31,-0.04546467791622518,-0.018471527473680378,"QQQ, EWP, EWG",17,0.9252066208869145,0.9447246158728834,0.9793400164894241
2000-05-31,2000-06-30,0.10828633234644507,0.04254779231674853,"EWS, EWA, EWJ",17,1.0253938525254065,0.9849205626255628,1.041092948442412
2000-06-30,2000-07-31,-0.027579308904223998,-0.019553073945012097,"EWM, EWD, EWG",17,0.997114198718116,0.9656623380345823,1.032570246808577
2000-07-31,2000-08-31,0.07327742142056796,0.025944095137363867,"EWY, EWJ, QQQ",19,1.0701801560620154,0.9907155736031209,1.080209279611797
2000-08-31,2000-09-29,-0.03408155507396412,-0.07365876604326146,"EWP, EWA, EWG",20,1.0337067521341243,0.917740686951673,1.1263603835279867
2000-09-29,2000-10-31,0.005640345544584702,-0.030138589978214704,"EWT, EWW, EWM",21,1.039537215407931,0.8900812766813114,1.1679126868996386
2000-10-31,2000-11-30,-0.14005905404261945,-0.07536332829569152,"EWY, EWC, QQQ",21,0.8939406163757975,0.8230017892169296,1.0861952283559004
2000-11-30,2000-12-29,-0.005125806593813083,0.04054833969933708,"QQQ, EWY, EWD",21,0.8893584496699011,0.8563731453392599,1.0385174436052333
2000-12-29,2001-01-31,0.15006711350199212,0.0722868744788853,"QQQ, EWM, EWY",21,1.0228219050804699,0.9182776834034873,1.1138481567901137
2001-01-31,2001-02-28,-0.1073546750598735,-0.0857156080016381,"QQQ, EWJ, EWH",21,0.9130171918164353,0.8395669534562216,1.087485861678861
2001-02-28,2001-03-30,-0.1176577419143869,-0.09016641708364766,"QQQ, EWC, EWZ",21,0.8055936506982988,0.7638662093612405,1.0546266359549423
2001-03-30,2001-04-30,0.07676597928840316,0.06200449302849348,"EWD, QQQ, EWM",21,0.8674358362026735,0.8112293464142813,1.0692855726149832
2001-04-30,2001-05-31,-0.04907407453511788,-0.020449266099684355,"EWT, EWP, EWL",21,0.8248672253224312,0.7946403016415827,1.038038498196486
2001-05-31,2001-06-29,-0.02951382087315361,-0.017725896394218447,"EWI, EWP, EWT",21,0.8005222417901298,0.7805545899840136,1.025581364919685
2001-06-29,2001-07-31,-0.03362715965372572,-0.031187411890663822,"EWP, EWZ, EWD",21,0.7736029525590946,0.756211112483034,1.0229986571064187
2001-07-31,2001-08-31,-0.043536323735821725,-0.02539100540995653,"QQQ, EWJ, EWA",21,0.7399231239734944,0.737010152034908,1.0039524176574006
2001-08-31,2001-09-28,-0.15338347163897278,-0.14311908532055811,"QQQ, EWZ, SPY",21,0.6264311464724858,0.6315299332037065,0.9919262944428382
2001-09-28,2001-10-31,0.09255183090810164,0.050005802515099264,"EWS, EWA, EWT",21,0.6844084960163755,0.663110094325865,1.0321189526034331
2001-10-31,2001-11-30,0.12980850924265322,0.08610360739922787,"EWZ, EWT, EWM",21,0.7732505425972677,0.7202062655501642,1.0736515073311437
2001-11-30,2001-12-31,0.026223853113204815,0.04645492980663607,"EWZ, EWU, EWJ",21,0.7935281512460444,0.7536633970625967,1.0528946401521164
2001-12-31,2002-01-31,-0.04678590791028462,-0.00802174340398735,"EWJ, QQQ, EWP",21,0.7564022162376286,0.7476177026783831,1.0117500074272914
2002-01-31,2002-02-28,-0.02177477672443166,0.004201213643999835,"QQQ, EWJ, EWP",21,0.739931726865189,0.7507586043713714,0.9855787500227879
2002-02-28,2002-03-28,0.05364715331560125,0.05732782201491825,"QQQ, EWH, EWP",21,0.7796269576594035,0.7937979600189419,0.9821478473449337
2002-03-28,2002-04-30,-0.04712631262701653,-0.0067729245042732,"EWJ, SPY, QQQ",21,0.7428860139202966,0.7884216263640874,0.9422445923334392
2002-04-30,2002-05-31,-0.019455711002371052,-0.01117299592194236,"QQQ, EWD, SPY",21,0.7284326383257599,0.7796125947479503,0.9343520656708516
2002-05-31,2002-06-28,-0.087348677804027,-0.058422090791623874,"EWW, QQQ, EWM",21,0.6648050104987058,0.7340659969552921,0.90564746665305
2002-06-28,2002-07-31,-0.1484795418461908,-0.1106318259931175,"EWZ, QQQ, SPY",21,0.5660950671228059,0.6528549353126699,0.8671069735448773
2002-07-31,2002-08-30,0.041582342202864976,0.011361410910508065,"EWZ, EWT, QQQ",21,0.5896346259232602,0.6602722884977102,0.8930173750966152
2002-08-30,2002-09-30,-0.1218915115420854,-0.13077164755008527,"EWH, EWP, EWM",21,0.5177631701119219,0.5739273934991994,0.9021405424737652
2002-09-30,2002-10-31,0.16558629050315088,0.08658748053840061,"EWZ, EWG, EWY",21,0.6034976528099069,0.6236223205142664,0.967729397998834
2002-10-31,2002-11-29,0.07736877598305118,0.0603434269446659,"EWW, EWA, EWY",21,0.6501895275164538,0.661253828453282,0.9832676947024891
2002-11-29,2002-12-31,-0.03879149577518896,-0.04821023712763854,"EWT, EWH, EWM",21,0.6249677032067271,0.6293746245819904,0.9929979360413677
2002-12-31,2003-01-31,-0.012799018813406948,-0.006174302185583564,"EWY, EWG, QQQ",21,0.6169687298156125,0.625488675461883,0.9863787371690157
2003-01-31,2003-02-28,-0.054046024697214166,-0.026656114593471322,"EWN, EWZ, EWW",21,0.583624022606589,0.6088155776518525,0.9586220261603274
2003-02-28,2003-03-31,-0.06503966077839167,-0.018794697809966437,"EWY, EWG, EWN",21,0.5456653141541361,0.5973730728478858,0.9134414304159363
2003-03-31,2003-04-30,0.05223387786423469,0.10525242326191384,"EWY, EWH, EWJ",21,0.5741675295284124,0.6602480363565415,0.8696239866109279
2003-04-30,2003-05-30,0.09391538736986564,0.07301153583740602,"EWT, EWJ, EWH",22,0.6280906954792721,0.708453759524564,0.8865655479064396
2003-05-30,2003-06-30,0.01906188605215701,0.02298484719201382,"EWL, EZA, EWA",22,0.640063288746918,0.7247374609298438,0.8831657300089218
2003-06-30,2003-07-31,0.04935304355786622,0.04309879413881987,"EWS, EWI, IWM",22,0.6716523601162357,0.7559727715631501,0.8884610469864381
2003-07-31,2003-08-29,0.007780175654289419,0.037394027305908656,"EWC, EWU, EWI",22,0.6768779334565581,0.784241638025506,0.8630986938677999
2003-08-29,2003-09-30,0.0219477657102403,0.008796702918438789,"EWI, EWU, EWP",22,0.6917338917544943,0.7911403787314861,0.8743503812352744
