date,strat_ret,bench_ret,top_tickers,n_available,cum_strat,cum_bench,relative
2000-01-01,0.007323558143888601,0.05698445188631322,"EWH, EWL, SPY",17,1.0073235581438886,1.0569844518863132,0.9530164387434471
2000-02-01,0.0419900583334028,0.017513182437633067,"EWS, EWW, EWC",17,1.0496211331109613,1.07549561342594,0.9759418076726908
2000-03-01,-0.0356414277720148,-0.05407059946814781,"EWS, EWM, EWQ",17,1.0122111373072065,1.017342920882636,0.9949556993319646
2000-04-01,-0.030431063265988028,-0.018471606319787347,"EWH, EWS, EWM",17,0.9814084761492732,0.9985509629558692,0.9828326370485373
2000-05-01,0.0830185267978836,0.04240683736374004,"EWH, EWS, EWJ",17,1.0628835620261416,1.0408963512413447,1.0211233431249669
2000-06-01,-0.01731574291070617,-0.019416613826092388,"EWD, EWM, EWC",17,1.0444789435220814,1.0206856687563028,1.023311069699617
2000-07-01,0.015631125108522135,-0.029441533404531327,"EWM, EWH, EWS",17,1.0608053245614921,0.9906351175440877,1.070833554933289
2000-08-01,0.06596231487398577,-0.01116075666628686,"EWC, EWA, EWJ",17,1.1307784994002181,0.9795788800520996,1.154351652967525
2000-09-01,-0.09532527239811704,-0.020912860415948274,"EWY, QQQ, EWJ",19,1.0229867309229583,0.9590930836671591,1.0666188176558395
2000-10-01,-0.0545888105681153,-0.07389892454698775,"EWY, EWA, EWP",20,0.9671431020549095,0.8882171362437018,1.088858864111751
2000-11-01,0.0472605064277229,0.019642527842154194,"EWP, EWY, EWH",21,1.0128507748461035,0.9056639660722471,1.1183516323816132
2000-12-01,0.07238014750600326,0.09336877599133563,"EWW, EWS, EWN",21,1.0861610633310343,0.9902247020438713,1.0968834256398026
2001-01-01,-0.05513145493671367,-0.08571558087842147,"EWT, EWJ, EWP",21,1.0262794236139865,0.905347016508019,1.1335757504038744
2001-02-01,-0.09451075041577295,-0.09037909940441431,"QQQ, EWT, EWY",21,0.9292849851519617,0.8235225685075508,1.128426858824381
2001-03-01,0.11136126387266665,0.06224828398391812,"EWL, QQQ, EWY",21,1.0327713355963763,0.8747854352191744,1.1805996007896715
2001-04-01,-0.030172168065177796,-0.02044930078015267,"QQQ, EWH, EWD",21,1.0016103852858644,0.8568966847362807,1.168881153501161
2001-05-01,-0.03891886795496633,-0.017993422378077533,"EWH, EWG, EWD",21,0.9626288429586008,0.8414781807534464,1.1439736228177397
2001-06-01,-0.08599955027539496,-0.030928731894075464,"EWG, EWY, EWT",21,0.8798431953820374,0.8154523277062087,1.0789633746671055
2001-07-01,-0.0306965552993933,-0.03504551318750665,"EWT, EWG, EWJ",21,0.8528350400801977,0.7868743824017977,1.0838261597449221
2001-08-01,-0.15372860662916885,-0.1345875029499458,"EWC, EWY, QQQ",21,0.7217298976841375,0.680970924139059,1.05985420537097
