date,ticker,side,action,qty,order_id,status,account,net_liq,dry_run
2026-04-15,FDN,SHORT,SELL,135,4,Filled,U14983106,213473.58,False
2026-04-15,IGV,LONG,BUY,420,5,Filled,U14983106,213473.58,False
2026-04-15,MOO,LONG,BUY,416,6,Filled,U14983106,213473.58,False
2026-04-15,SOXX,SHORT,SELL,87,7,Filled,U14983106,213473.58,False
2026-04-15,XLC,LONG,BUY,296,8,Filled,U14983106,213473.58,False
2026-04-15,XLK,SHORT,SELL,233,9,Filled,U14983106,213473.58,False
2026-04-18,FDN,SHORT,BUY,135,13,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,IGV,LONG,SELL,13,14,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,IYT,LONG,BUY,423,15,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,MOO,SHORT,SELL,416,16,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,SMH,SHORT,SELL,75,17,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,SOXX,SHORT,BUY,4,18,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,XBI,SHORT,SELL,250,19,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,XLB,LONG,BUY,667,20,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,XLC,SHORT,SELL,296,21,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-18,XLK,SHORT,BUY,233,22,PreSubmitted,MOO,U14983106,211833.20,False
2026-04-26,IGV,SHORT,SELL,407,13,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,IHI,LONG,BUY,638,14,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,IYT,SHORT,SELL,423,15,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,KBE,LONG,BUY,530,16,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,SMH,SHORT,BUY,9,17,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,SOXX,SHORT,BUY,10,18,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,XBI,LONG,BUY,503,19,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,XLB,SHORT,SELL,667,20,PreSubmitted,MOO,U14983106,206182.66,False
2026-04-26,XLK,SHORT,SELL,210,21,PreSubmitted,MOO,U14983106,206182.66,False
2026-05-01,FDN,SHORT,SELL,127,13,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,IGV,SHORT,SELL,407,14,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,IHI,LONG,BUY,668,15,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,ITB,LONG,BUY,355,16,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,IYT,SHORT,SELL,423,17,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,OIH,SHORT,SELL,76,18,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,SMH,SHORT,BUY,75,19,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,SOXX,SHORT,BUY,11,20,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,XBI,SHORT,BUY,250,21,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-01,XLB,LONG,SELL,10,22,PreSubmitted,MOO,U14983106,206416.75,False
2026-05-10,FDN,SHORT,BUY,127,26,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,IGV,SHORT,SELL,362,27,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,IHI,LONG,BUY,6,28,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,ITB,SHORT,SELL,355,29,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,KBE,LONG,BUY,516,30,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,OIH,SHORT,BUY,76,31,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,SMH,SHORT,SELL,58,32,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,SOXX,SHORT,BUY,9,33,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-10,XLB,SHORT,SELL,657,34,PreSubmitted,MOO,U14983106,202242.98,False
