date,ticker,side,action,qty,order_id,status,account,net_liq,dry_run
2026-04-15,FDN,SHORT,SELL,135,4,Filled,U14983106,213473.58,False
2026-04-15,IGV,LONG,BUY,420,5,Filled,U14983106,213473.58,False
2026-04-15,MOO,LONG,BUY,416,6,Filled,U14983106,213473.58,False
2026-04-15,SOXX,SHORT,SELL,87,7,Filled,U14983106,213473.58,False
2026-04-15,XLC,LONG,BUY,296,8,Filled,U14983106,213473.58,False
2026-04-15,XLK,SHORT,SELL,233,9,Filled,U14983106,213473.58,False
2026-05-10,XLV,LONG,BUY,230,35,PreSubmitted,MOO,U14983106,202242.98,False
2026-05-17,IGV,SHORT,BUY,362,39,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,IHI,LONG,BUY,8,40,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,ITB,LONG,BUY,382,41,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,KBE,SHORT,SELL,516,42,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,SMH,SHORT,BUY,58,43,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,SOXX,SHORT,SELL,2,44,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,XLRE,LONG,BUY,764,45,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,XLV,SHORT,SELL,230,46,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,XLY,SHORT,SELL,284,47,PreSubmitted,MOO,U14983106,202292.33,False
2026-05-17,XOP,SHORT,SELL,190,48,PreSubmitted,MOO,U14983106,202292.33,False
2026-06-01,IGV,SHORT,SELL,324,40,PreSubmitted,MOO,U14983106,201350.66,False
2026-06-01,IHI,SHORT,SELL,682,41,Submitted,MOO,U14983106,201350.66,False
2026-06-01,ITA,SHORT,SELL,140,42,PreSubmitted,MOO,U14983106,201350.66,False
2026-06-01,ITB,SHORT,SELL,382,43,PreSubmitted,MOO,U14983106,201350.66,False
2026-06-01,KBE,LONG,BUY,518,44,Submitted,MOO,U14983106,201350.66,False
2026-06-01,SMH,LONG,BUY,55,45,PreSubmitted,MOO,U14983106,201350.66,False
2026-06-01,SOXX,SHORT,BUY,65,46,PreSubmitted,MOO,U14983106,201350.66,False
2026-06-01,XLE,SHORT,SELL,584,47,Submitted,MOO,U14983106,201350.66,False
2026-06-01,XLI,LONG,BUY,190,48,Submitted,MOO,U14983106,201350.66,False
2026-06-01,XLRE,SHORT,SELL,764,49,Submitted,MOO,U14983106,201350.66,False
2026-06-01,XLY,SHORT,BUY,284,50,Submitted,MOO,U14983106,201350.66,False
2026-06-01,XOP,SHORT,BUY,190,51,Submitted,MOO,U14983106,201350.66,False
2026-06-10,IGV,SHORT,BUY,324,56,Filled,MKT,U14983106,205341.02,False
2026-06-10,ITA,SHORT,BUY,140,57,Filled,MKT,U14983106,205341.02,False
2026-06-10,KBE,SHORT,SELL,518,58,Filled,MKT,U14983106,205341.02,False
2026-06-10,KRE,SHORT,SELL,465,59,Filled,MKT,U14983106,205341.02,False
2026-06-10,SMH,LONG,BUY,3,60,Filled,MKT,U14983106,205341.02,False
2026-06-10,SOXX,SHORT,SELL,61,61,Filled,MKT,U14983106,205341.02,False
2026-06-10,XLC,LONG,BUY,300,62,Filled,MKT,U14983106,205341.02,False
2026-06-10,XLE,SHORT,BUY,584,63,Filled,MKT,U14983106,205341.02,False
2026-06-10,XLI,SHORT,SELL,190,64,Filled,MKT,U14983106,205341.02,False
2026-06-10,XLV,SHORT,SELL,218,65,Filled,MKT,U14983106,205341.02,False
2026-06-10,XLY,LONG,BUY,294,66,Filled,MKT,U14983106,205341.02,False
2026-06-13,IHI,LONG,BUY,674,71,PreSubmitted,MOO,U14983106,204814.16,False
2026-06-13,KBE,SHORT,SELL,500,72,PreSubmitted,MOO,U14983106,204814.16,False
2026-06-13,KRE,SHORT,BUY,9,73,PreSubmitted,MOO,U14983106,204814.16,False
2026-06-13,SMH,SHORT,SELL,58,74,PreSubmitted,MOO,U14983106,204814.16,False
2026-06-13,SOXX,SHORT,BUY,61,75,PreSubmitted,MOO,U14983106,204814.16,False
2026-06-13,XBI,SHORT,SELL,250,76,PreSubmitted,MOO,U14983106,204814.16,False
2026-06-13,XLV,SHORT,BUY,218,77,PreSubmitted,MOO,U14983106,204814.16,False
2026-06-13,XLY,LONG,SELL,7,78,PreSubmitted,MOO,U14983106,204814.16,False
