ic_pre,ic_post,ic_post_p,acc_post,ticker,lookback
0.05563453040183938,0.05230530802014725,0.6283978576700361,0.5113636363636364,EPOL,40
-0.0671728655273874,0.03421859039836568,0.7516216495928314,0.5795454545454546,THD,40
0.0529570693667257,0.23495121693494422,0.027561843214350772,0.6022727272727273,EWI,40
0.07995442888404045,-0.07754217885949774,0.4727007748701554,0.4659090909090909,QQQ,40
0.11459276328987213,0.1986721144024515,0.06350983573503034,0.5568181818181818,EWH,40
0.04815725631152469,0.20300447324856474,0.057837915245478454,0.5795454545454546,EWJ,40
0.06713070783671636,0.11014053749427635,0.30699456647382123,0.5454545454545454,EIDO,40
0.09898310389385855,0.14747631291606497,0.17031887366007778,0.5568181818181818,EWN,40
0.05680552370206736,-0.21792117220245855,0.041386673028166225,0.45454545454545453,EWY,40
0.12008686344186256,-0.03467648198372724,0.7484077542107455,0.48863636363636365,EWL,40
0.01465893628922146,0.11443767391074637,0.288388476840942,0.5454545454545454,EWM,40
0.07109134399487464,0.09737240674861754,0.3667802976934972,0.5340909090909091,EWZ,40
0.04874082942250758,-0.0050015850093339444,0.9631122295203991,0.4659090909090909,ECH,40
0.0962531259556699,0.23826212532140473,0.025388642285840732,0.5909090909090909,IWM,40
0.06359163577925728,0.19034200979183546,0.07568122838808099,0.5795454545454546,EWW,40
0.053865699555821454,0.1601042588523269,0.1362067061703104,0.5340909090909091,EWA,40
0.07356924251522594,0.041879468845760985,0.6984475121618875,0.5,EWT,40
0.058245645200693516,0.23900179634391183,0.024923570781059327,0.5454545454545454,EWC,40
0.10939561007535024,-0.007273431721320138,0.9463777994645679,0.5227272727272727,ASHR,40
0.08255339606124704,0.01743510267338241,0.8719127020822179,0.48863636363636365,EWU,40
0.09895959416121299,0.051653693071748094,0.632688947365714,0.5681818181818182,EWQ,40
0.11267076625344843,0.14411257088513968,0.18038507489529962,0.5795454545454546,EZA,40
0.011793567951805263,-0.00702687471381776,0.9481929453387852,0.5,VNM,40
0.01721690287105483,-0.04346447817970484,0.6876154463914306,0.42045454545454547,TUR,40
0.10092455269371133,0.1328590046141383,0.21720796035356313,0.5454545454545454,SPY,40
0.04491065230740755,0.06377020886900779,0.5550127378577545,0.4659090909090909,EWP,40
0.028300087894562766,-0.02319396992004509,0.8301598467717188,0.5,EWG,40
0.07340122681970757,0.18743615934627172,0.08034281499265572,0.5909090909090909,EWS,40
0.06771566269952235,-0.007643267232573705,0.943655596207817,0.5227272727272727,EWD,40
0.045799683076662503,0.21011940403649046,0.04942508445283518,0.5795454545454546,EPHE,40
0.12631273872711862,-0.056496777147687666,0.6010948232404534,0.5340909090909091,MCHI,40
0.05187766947900423,-0.004561304638793985,0.9663574098943735,0.5340909090909091,KSA,40
0.06751163691170003,0.08530872459582263,0.42937216858429805,0.5,INDA,40
0.10444790769979075,-0.15205522876968056,0.15728922935111952,0.4431818181818182,EDEN,40
