Lookback,Holding,Mean_IC,Long_Sharpe,Short_Sharpe,LS_Sharpe,Long_Ann,Short_Ann
40,10,-0.004957807624474291,0.41245560553543636,-0.5054772715341533,-0.10620751692488571,0.0791135124997846,-0.09185816264973617
40,20,-0.007475149561185743,0.6430660014629983,-0.8292791375142207,-0.20027273568148102,0.15347323754407838,-0.1807453145696586
80,2,0.03951273379219854,0.6433291820183714,-0.02083834005987303,0.7804560420184936,0.05215823900279615,-0.0015907828048962317
80,5,0.01994462134194507,0.5568297884765488,-0.20460532604508075,0.4690325322307707,0.07583477566422014,-0.02465943585821904
120,2,0.02560900156736201,0.1696806891677429,-0.08678773899623837,0.08624214163513924,0.013490004758516472,-0.007469298335652009
