date,next_month_end,ticker,horizon_days,pred_return,actual_return
2000-02-29,2000-03-31,EWA,23,0.030558338659044004,-0.042424086426684604
2000-02-29,2000-03-31,EWC,23,-0.046775654651864285,0.06115100884319835
2000-02-29,2000-03-31,EWD,23,-0.10472140492262572,-0.01618691093902125
2000-02-29,2000-03-31,EWG,23,-0.04938894975780239,-0.031389968716410976
2000-02-29,2000-03-31,EWH,23,-0.016145130906056293,0.028168718947139793
2000-02-29,2000-03-31,EWI,23,-0.10002431034326298,-0.06976724637362752
2000-02-29,2000-03-31,EWJ,23,-0.017765834900208444,0.08641958503198821
2000-02-29,2000-03-31,EWL,23,0.06501498518355353,0.07359320409656411
2000-02-29,2000-03-31,EWM,23,0.004275068107828295,-0.05128198304200793
2000-02-29,2000-03-31,EWN,23,0.010379701658891127,0.018469489775128745
2000-02-29,2000-03-31,EWP,23,-0.03763967614479824,0.008810101214034916
2000-02-29,2000-03-31,EWQ,23,-0.06910270929910545,-0.01769950448242319
2000-02-29,2000-03-31,EWS,23,0.14599934389311953,0.026086974871598834
2000-02-29,2000-03-31,EWU,23,0.004130858240152913,0.06514669297739628
2000-02-29,2000-03-31,EWW,23,-0.006005464844900055,0.03873275724143177
2000-02-29,2000-03-31,QQQ,23,-0.15048004952616922,0.02576121618703242
2000-02-29,2000-03-31,SPY,23,0.029608252378284572,0.09691525477645069
2000-03-31,2000-04-28,EWA,19,0.04166285148595117,0.006329007481395754
2000-03-31,2000-04-28,EWC,19,-0.0258630688373368,-0.020338751967681867
2000-03-31,2000-04-28,EWD,19,-0.03355080094775642,-0.0310785592254329
2000-03-31,2000-04-28,EWG,19,0.03516753825152419,-0.08796332668085549
2000-03-31,2000-04-28,EWH,19,-0.031504857642253525,-0.08219192819947885
2000-03-31,2000-04-28,EWI,19,0.04744662787048726,-0.06500009857866007
2000-03-31,2000-04-28,EWJ,19,-0.08075579647548414,-0.07575772790086366
2000-03-31,2000-04-28,EWL,19,-0.03623312922592936,-0.04032262469860892
2000-03-31,2000-04-28,EWM,19,0.0005555412297584272,-0.0990993736917295
2000-03-31,2000-04-28,EWN,19,-0.015764782423186352,-0.04404099667266481
2000-03-31,2000-04-28,EWP,19,-0.012849326447204823,-0.06986863612084993
2000-03-31,2000-04-28,EWQ,19,0.016623249258996387,-0.02477452204057151
2000-03-31,2000-04-28,EWS,19,0.012302398713675444,0.01694907847049798
2000-03-31,2000-04-28,EWU,19,-0.05343986908892684,-0.03975544123241648
2000-03-31,2000-04-28,EWW,19,-0.010129303099269293,-0.09491521335888409
2000-03-31,2000-04-28,QQQ,19,-0.014855480835482493,-0.13470361309887735
2000-03-31,2000-04-28,SPY,19,-0.024321060293699515,-0.03512076268865327
2000-04-28,2000-05-31,EWA,22,0.00882295343432915,-0.05031455299878429
2000-04-28,2000-05-31,EWC,22,-0.009500249208129308,0.0034598926613207404
2000-04-28,2000-05-31,EWD,22,-0.019908450104274222,-0.02075476196586723
2000-04-28,2000-05-31,EWG,22,0.05098590492500055,0.005076242578587298
2000-04-28,2000-05-31,EWH,22,0.038492545292388325,-0.07462657120432004
2000-04-28,2000-05-31,EWI,22,0.03418865558945239,0.053475743782438245
2000-04-28,2000-05-31,EWJ,22,-0.01855142369076901,-0.057376731582388096
2000-04-28,2000-05-31,EWL,22,-0.010529678520352803,0.05882327681893873
2000-04-28,2000-05-31,EWM,22,0.03497251627780673,0.10000026946293339
2000-04-28,2000-05-31,EWN,22,0.002714869485715088,0.03523004421948239
2000-04-28,2000-05-31,EWP,22,0.05143147507291501,-0.018779238835001766
2000-04-28,2000-05-31,EWQ,22,0.015488159419691394,0.03926075337388646
2000-04-28,2000-05-31,EWS,22,-0.04913491159271799,-0.1166668394054382
2000-04-28,2000-05-31,EWU,22,-0.002305616228161833,-0.035031765996390685
2000-04-28,2000-05-31,EWW,22,0.02656757021922429,-0.097378086619759
2000-04-28,2000-05-31,QQQ,22,0.07801413903955257,-0.12269103749226107
2000-04-28,2000-05-31,SPY,22,-0.005728270172111083,-0.015722603849943284
2000-05-31,2000-06-30,EWA,22,0.03917650533218042,0.1456956501107256
2000-05-31,2000-06-30,EWC,22,-0.03370401985563998,0.09999991236034611
2000-05-31,2000-06-30,EWD,22,-0.040804252608255265,-0.04046222829576207
2000-05-31,2000-06-30,EWG,22,-0.004539813279795357,-0.020201978801762333
2000-05-31,2000-06-30,EWH,22,0.0027714706234194253,0.06989238918733953
2000-05-31,2000-06-30,EWI,22,-0.07282302529612983,0.055837592027886185
2000-05-31,2000-06-30,EWJ,22,0.031878241388715534,0.05652172050459958
2000-05-31,2000-06-30,EWL,22,-0.05438422836911072,0.011905023514937163
2000-05-31,2000-06-30,EWM,22,-0.061134428873180324,-0.09090931360567556
2000-05-31,2000-06-30,EWN,22,-0.04336666579582782,0.044502593845058946
2000-05-31,2000-06-30,EWP,22,-0.03476143932314257,-0.004784707856242076
2000-05-31,2000-06-30,EWQ,22,-0.06742642827371192,0.024445114717235317
2000-05-31,2000-06-30,EWS,22,0.053078238897910746,0.12264162642401
2000-05-31,2000-06-30,EWU,22,-0.040953836493611284,0.013201221774565175
2000-05-31,2000-06-30,EWW,22,-0.028800162820188824,0.091286100568305
2000-05-31,2000-06-30,QQQ,22,-0.004426007852766589,0.12406019823301317
2000-05-31,2000-06-30,SPY,22,-0.021434984539162705,0.019681554676145296
2000-06-30,2000-07-31,EWA,20,-0.06010179303911212,-0.06358385828293778
2000-06-30,2000-07-31,EWC,20,-0.02830372639853973,0.028213298203108028
2000-06-30,2000-07-31,EWD,20,0.033098576127363444,-0.04016076719084816
2000-06-30,2000-07-31,EWG,20,0.005268581421137286,-0.0025771834740845323
2000-06-30,2000-07-31,EWH,20,-0.024753902597607236,0.06030147192352597
2000-06-30,2000-07-31,EWI,20,-0.014947743620377318,-0.038461287822313506
2000-06-30,2000-07-31,EWJ,20,-0.01766407972971351,-0.11111123983365445
2000-06-30,2000-07-31,EWL,20,-0.002156479289615265,0.003921498449724892
2000-06-30,2000-07-31,EWM,20,0.040908006252737605,-0.039999976047739305
2000-06-30,2000-07-31,EWN,20,0.003677833045329537,-0.035087825901347514
2000-06-30,2000-07-31,EWP,20,0.0032566940930263133,-0.012019508661535228
2000-06-30,2000-07-31,EWQ,20,0.004836861794890623,-0.019523079107039987
2000-06-30,2000-07-31,EWS,20,-0.008922795682423934,0.0
2000-06-30,2000-07-31,EWU,20,-0.02075773374494505,0.0
2000-06-30,2000-07-31,EWW,20,-0.05686600513695739,-0.0038023526711307154
2000-06-30,2000-07-31,QQQ,20,-0.011239336351139273,-0.04280908005574613
2000-06-30,2000-07-31,SPY,20,-0.014580376824855468,-0.015702366593187245
2000-07-31,2000-08-31,EWA,23,3.995525011979417e-05,0.003755022445036893
2000-07-31,2000-08-31,EWC,23,0.013459366051848498,0.08238369866982209
2000-07-31,2000-08-31,EWD,23,0.04579822724958649,0.007159414264795716
