security,name,file,status,rows
360ONE IB Equity,360 ONE WAM Ltd,360ONE-IB-Equity.csv,downloaded,321
3M IB Equity,3M India Ltd,3M-IB-Equity.csv,downloaded,5204
AACL IB Equity,Alkyl Amines Chemicals,AACL-IB-Equity.csv,downloaded,5137
AADHARHF IB Equity,Aadhar Housing Finance Ltd,AADHARHF-IB-Equity.csv,too_short,0
AAVAS IB Equity,Aavas Financiers Ltd,AAVAS-IB-Equity.csv,downloaded,554
ABB IB Equity,ABB India Ltd,ABB-IB-Equity.csv,downloaded,5225
ABCAP IB Equity,Aditya Birla Capital Ltd,ABCAP-IB-Equity.csv,downloaded,826
ABDL IB Equity,Allied Blenders & Distillers L,ABDL-IB-Equity.csv,too_short,0
ABFRL IB Equity,Aditya Birla Fashion and Retai,ABFRL-IB-Equity.csv,downloaded,1843
ABLBL IB Equity,Aditya Birla Lifestyle Brands,ABLBL-IB-Equity.csv,too_short,0
ABREL IB Equity,Aditya Birla Real Estate Ltd,ABREL-IB-Equity.csv,downloaded,5225
ABSLAMC IB Equity,Aditya Birla Sun Life Asset Ma,ABSLAMC-IB-Equity.csv,too_short,0
ACC IB Equity,ACC Ltd,ACC-IB-Equity.csv,downloaded,5226
ACCE IB Equity,Action Construction Equipment,ACCE-IB-Equity.csv,downloaded,3535
ACEM IB Equity,Ambuja Cements Ltd,ACEM-IB-Equity.csv,downloaded,5225
ACMESOLA IB Equity,Acme Solar Holdings Ltd,ACMESOLA-IB-Equity.csv,too_short,0
ADANI IB Equity,Adani Power Ltd,ADANI-IB-Equity.csv,downloaded,2820
ADANIENS IB Equity,Adani Energy Solutions Ltd,ADANIENS-IB-Equity.csv,downloaded,1341
ADANIGR IB Equity,Adani Green Energy Ltd,ADANIGR-IB-Equity.csv,downloaded,629
ADE IB Equity,Adani Enterprises Ltd,ADE-IB-Equity.csv,downloaded,5225
ADSEZ IB Equity,Adani Ports & Special Economic,ADSEZ-IB-Equity.csv,downloaded,3243
AEGISLOG IB Equity,Aegis Logistics Ltd,AEGISLOG-IB-Equity.csv,downloaded,5148
AEGISVOP IB Equity,Aegis Vopak Terminals Ltd,AEGISVOP-IB-Equity.csv,too_short,0
AETHER IB Equity,Aether Industries Ltd,AETHER-IB-Equity.csv,too_short,0
AFCONS IB Equity,Afcons Infrastructure Ltd,AFCONS-IB-Equity.csv,too_short,0
AFFLE IB Equity,Affle 3i Ltd,AFFLE-IB-Equity.csv,downloaded,347
AGARWALE IB Equity,Dr Agarwal's Health Care Ltd,AGARWALE-IB-Equity.csv,too_short,0
AIAE IB Equity,AIA Engineering Ltd,AIAE-IB-Equity.csv,downloaded,3732
AIIL IB Equity,Authum Investment & Infrastuct,AIIL-IB-Equity.csv,downloaded,1376
AISG IB Equity,Asahi India Glass Ltd,AISG-IB-Equity.csv,downloaded,4948
AJP IB Equity,Ajanta Pharma Ltd,AJP-IB-Equity.csv,downloaded,5120
AL IB Equity,Ashok Leyland Ltd,AL-IB-Equity.csv,downloaded,5225
ALKEM IB Equity,Alkem Laboratories Ltd,ALKEM-IB-Equity.csv,downloaded,1244
ALOK IB Equity,Alok Industries Ltd,ALOK-IB-Equity.csv,downloaded,5210
ALPM IB Equity,Alembic Pharmaceuticals Ltd,ALPM-IB-Equity.csv,downloaded,2300
AMBER IB Equity,Amber Enterprises India Ltd,AMBER-IB-Equity.csv,downloaded,724
ANANDRAT IB Equity,Anand Rathi Wealth Ltd,ANANDRAT-IB-Equity.csv,too_short,0
ANGELONE IB Equity,Angel One Ltd,ANGELONE-IB-Equity.csv,downloaded,62
APAT IB Equity,APL Apollo Tubes Ltd,APAT-IB-Equity.csv,downloaded,2250
APHS IB Equity,Apollo Hospitals Enterprise Lt,APHS-IB-Equity.csv,downloaded,5224
APNT IB Equity,Asian Paints Ltd,APNT-IB-Equity.csv,downloaded,5225
APR IB Equity,Apar Industries Ltd,APR-IB-Equity.csv,downloaded,5215
APTUS IB Equity,Aptus Value Housing Finance In,APTUS-IB-Equity.csv,too_short,0
